filename,set,record_id,frame_idx,time_s,mean,std,min,max,p10,p25,p50,p75,p90,iqr,entropy,energy,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_corr,speckle_contrast,ps_centroid,grain_halfmax_r,force_p1_N,force_p2_N,force_p3_N
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_00.png,A,1,0,0.0,111.41957092285156,52.30839157104492,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.803165299111444,0.016304415185004473,1.7295189950980392,0.7758614687524651,0.2514198982616962,0.978993068292089,0.4694722043694056,6.8449200448921435,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_01.png,A,1,1,2.0,111.44635009765625,52.33087158203125,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.804009066841523,0.016252596396952868,1.726317401960784,0.7764420251879046,0.25165182577725437,0.9790428110218148,0.46956110752999275,6.843280695043592,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_02.png,A,1,2,4.0,111.63356018066406,52.47055435180664,60.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.8051352611719915,0.016293581575155258,1.7291360294117648,0.7761945716395231,0.2511500332228276,0.9791206146307047,0.47002491246261036,6.82701219527853,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_03.png,A,1,3,6.0,111.54998779296875,52.42256164550781,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.805257733437688,0.01621816260740161,1.727987132352941,0.7760699730387578,0.2518544775005248,0.9790981244745723,0.46994681651423414,6.83307303073505,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_04.png,A,1,4,8.0,111.43392944335938,52.35104751586914,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.801846725197901,0.0162719888612628,1.7273743872549019,0.7766984681364059,0.2522053306063416,0.9790556224681065,0.46979450314078824,6.842180085230686,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_05.png,A,1,5,10.0,111.40800476074219,52.31172180175781,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.800442425696955,0.01630268432199955,1.7244638480392158,0.7769946638186069,0.25175758247814034,0.9790517404523098,0.4695508362626281,6.846844274360813,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_06.png,A,1,6,12.0,111.40144348144531,52.30398941040039,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.801354285318579,0.016225988045334816,1.7294117647058829,0.7769641255373527,0.2518142873856658,0.978987511760204,0.4695090815327857,6.846546007955622,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_07.png,A,1,7,14.0,111.3575439453125,52.27287292480469,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.801997110866589,0.016322055831551552,1.727313112745098,0.776932275698623,0.2520056179046161,0.9789840064325187,0.4694147434723896,6.850406240208516,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_08.png,A,1,8,16.0,111.31581115722656,52.24771499633789,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.801191716272886,0.016297246795147657,1.721982230392157,0.776671852384067,0.25264562922767414,0.9790312658337739,0.46936472414094726,6.850888646963246,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_09.png,A,1,9,18.0,111.32853698730469,52.23325729370117,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.80178128708555,0.01629054406657815,1.7275582107843137,0.7768704737121448,0.2520344238983963,0.9789564386543739,0.46918120642919353,6.852718306459266,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_10.png,A,1,10,20.0,111.358154296875,52.264122009277344,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.803646695806982,0.016200192272663116,1.7288756127450982,0.7765034455655367,0.25198138324439195,0.9789609426586403,0.46933358710259754,6.846227641127567,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_11.png,A,1,11,22.0,111.39146423339844,52.27506637573242,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.80361567324722,0.016238424461334944,1.7268995098039215,0.7767291249815045,0.25148428257165356,0.9789908567801454,0.4692914913677771,6.845656708378581,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_12.png,A,1,12,24.0,111.40650939941406,52.30668258666992,59.0,255.0,64.0,68.0,97.0,131.0,197.0,63.0,6.804439471886472,0.016224929597228765,1.7274816176470589,0.7763737314707195,0.2522279095940522,0.9790135684206478,0.46951190615926935,6.841690915286102,14.0,0.36,0.27,0.37
FRS_setA_posA_036_posB_027_posC_037_record_001_frame_13.png,A,1,13,26.0,111.48078918457031,52.35152816772461,59.0,255.0,64.0,68.0,97.0,131.0,198.0,63.0,6.804209680186341,0.01629827544093132,1.7316942401960782,0.7765100704907593,0.2519065933119117,0.9789965691974092,0.4696013416360883,6.838313156018453,14.0,0.36,0.27,0.37
