set,record_id,force_p1_N,force_p2_N,force_p3_N,ssim_mean,ssim_std,ssim_min,ssim_tend,ssim_slope,ssim_auc,mean_mean,mean_std,std_mean,std_std,min_mean,min_std,max_mean,max_std,p10_mean,p10_std,p25_mean,p25_std,p50_mean,p50_std,p75_mean,p75_std,p90_mean,p90_std,iqr_mean,iqr_std,entropy_mean,entropy_std,energy_mean,energy_std,glcm_contrast_mean,glcm_contrast_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_corr_mean,glcm_corr_std,speckle_contrast_mean,speckle_contrast_std,ps_centroid_mean,ps_centroid_std,grain_halfmax_r_mean,grain_halfmax_r_std
A,1,0.36,0.27,0.37,0.9981524307171812,0.0006116202527369023,0.9974358386764646,0.9975029324587986,-2.858244849848956e-05,0.9981209025323016,111.42410659790039,0.07806851861763728,52.31763515472412,0.05955723499360319,59.1,0.3,255.0,0.0,64.0,0.0,68.0,0.0,97.0,0.0,131.0,0.0,197.55,0.49749371855331,63.0,0.0,6.802284838095507,0.002019954592875983,0.016274957614950836,4.119608783731757e-05,1.7273246017156865,0.0021136035475886675,0.7765764501169294,0.0003738849656768538,0.25189050560873516,0.0003808363056461143,0.9790236784120993,4.413914313253579e-05,0.46953591385385013,0.00021725446145453103,6.843411961500214,0.006662599991579674,14.0,0.0
A,2,0.37,0.28,0.37,0.9979594923516641,0.0006450356789288574,0.9973105881896345,0.9975652189638946,-4.6987459532647966e-05,0.9979161703974124,111.3410255432129,0.09464128719780297,52.345406723022464,0.06554308547450247,59.4,0.48989794855663565,255.0,0.0,64.0,0.0,68.0,0.0,97.0,0.0,131.0,0.0,198.1,0.43588989435406733,63.0,0.0,6.796719346990292,0.002424132080783714,0.016339703020639716,4.9891724198458994e-05,1.7174670649509802,0.0029390210001207,0.776840907437165,0.0006224601520836381,0.2518865729704146,0.0004036451528287105,0.9791738255101052,2.8325473957217247e-05,0.47013568534703365,0.00019978990587166134,6.8245643727595695,0.006583989917159202,14.0,0.0
A,3,0.38,0.29,0.38,0.9982030765233244,0.0005352720328578038,0.997605090214961,0.9976653750543625,-2.8808649306177584e-05,0.9981699391020423,111.09719696044922,0.07944354816067332,52.75650978088379,0.04261477075002116,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,97.0,0.0,130.65,0.47696960070847283,199.1,0.3,63.65,0.4769696007084729,6.802031711709506,0.0013304671445681,0.016226658900268375,3.6306552205641884e-05,1.722676930147059,0.002962767791235422,0.7775343645076402,0.0005024206052388623,0.26045501625408274,0.0002484766468837482,0.9794110573799143,3.428343179656414e-05,0.4748680736325439,0.000223537346767417,6.791698420526113,0.006187354016482662,14.0,0.0
A,4,0.4,0.3,0.39,0.9985134530586196,0.00038355567281583483,0.998124488585991,0.9982254557092226,-1.636364025555196e-05,0.9984819122798569,110.41667175292969,0.12230513350640881,52.60369300842285,0.07002906981763235,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,96.0,0.0,129.0,0.0,198.625,0.4710360920354193,62.0,0.0,6.7869335707769265,0.0013743232099209571,0.016575583908706903,4.4934478419021644e-05,1.696421568627451,0.002038865003164637,0.779346239643705,0.000282523287356779,0.2633063651175728,0.0005392293232516707,0.9795944501214148,7.047466222498679e-05,0.4764106866216088,0.00017895343865278443,6.750113980528971,0.008875985791540997,14.0,0.0
A,5,0.41,0.31,0.4,0.9985642533142858,0.0003576469538749177,0.9982199399197327,0.9985540706122698,-1.899737984601832e-05,0.9985267384725832,110.42454833984375,0.023957930879823508,52.63931159973144,0.014605524421166154,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,96.0,0.0,129.0,0.0,199.0,0.0,62.0,0.0,6.786963619319749,0.0007426329978679937,0.01652428254019469,3.4999435565602745e-05,1.6924310661764703,0.001846723280350632,0.7793868872617971,0.0003706046842178291,0.26263343851517085,0.0002444206860052025,0.979680641960182,2.8526769563283274e-05,0.4766993591475789,7.28880082889767e-05,6.737125379120751,0.001981409137069753,14.0,0.0
A,6,0.42,0.32,0.41,0.9982853821100738,0.0006528792752892054,0.9972088981779654,0.9972088981779654,-2.9001248846645007e-05,0.9982685891111573,110.82402877807617,0.06147514265672201,53.06993656158447,0.04291012245580464,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,96.0,0.0,129.4125,0.48266836440769556,201.975,0.10897247358851683,62.4125,0.48266836440769567,6.78880559693296,0.0011632085142269466,0.01650363819207996,3.638218859569004e-05,1.6907628676470587,0.001784537914669239,0.7789462085476796,0.0004869618895592818,0.2625406157649157,0.00023247627306923144,0.9800231357557843,2.399879917123712e-05,0.47886664177699184,0.00016407203586479656,6.656104656837374,0.003624896743748291,14.0,0.0
A,7,0.44,0.32,0.42,0.9978438038591447,0.0007484175526477274,0.9970874689938116,0.9971129141057538,-5.968242959223064e-05,0.9978062957962907,110.60853271484375,0.13563634203694355,52.896149444580075,0.10106697391002883,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,97.0,0.0,128.6,0.4898979485566356,201.525,0.6609652033201141,61.6,0.4898979485566357,6.781345703525649,0.002221171712984753,0.016527554485946894,3.289258698767993e-05,1.6914935661764705,0.0063573985257119325,0.7794977796962524,0.0005857677787492934,0.2629148710514525,0.0002702489910894079,0.979875889410741,8.533633018675603e-05,0.47822808304248,0.0003478415372540731,6.654479079598071,0.007314608681468331,14.0,0.0
A,8,0.45,0.35,0.43,0.99827388572005,0.0004967470264131501,0.9978066056696584,0.9981019537865214,-3.506151011159396e-06,0.9982329861845916,110.29434661865234,0.05377352776156815,52.46324615478515,0.038948655130456554,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,97.0,0.0,128.0,0.0,199.575,0.48153400710645555,61.0,0.0,6.777132888828864,0.0009771211125560292,0.01653532637283206,3.936333955984557e-05,1.7112063419117647,0.002113173841711466,0.7787888473403088,0.00026695763692004585,0.26300835167363135,0.0002548088590016503,0.9793066985204829,2.8604981092592457e-05,0.47566573457589545,0.0001730756626388223,6.737781152131982,0.0040819587964141145,14.0,0.0
A,9,0.46,0.35,0.43,0.9986035696066313,0.0003277315963993014,0.9984084137387818,0.9984084137387818,-1.2024045310144363e-05,0.9985719571190912,110.46485137939453,0.06726234030858695,52.435588645935056,0.04166734097421257,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,97.0,0.0,128.2,0.4,199.725,0.43229041164476456,61.2,0.4,6.77427265589319,0.0011869581102132063,0.01654984939377755,3.5806117846326416e-05,1.7317976409313727,0.0033243817223864514,0.7781405310470464,0.0002669776464659833,0.262717643955272,0.00026529589397086085,0.9790411073721719,2.246504370762841e-05,0.4746811538267252,0.0001056502127251419,6.786022096887334,0.0024656995539932033,14.0,0.0
A,10,0.48,0.37,0.45,0.9983302280427028,0.0005174932065878083,0.9977340869774068,0.9977340869774068,-2.4934780627153026e-05,0.9983019745981502,110.48860702514648,0.12131671099679854,52.15623264312744,0.0929063915037257,59.0,0.0,255.0,0.0,63.0,0.0,67.0,0.0,97.5,0.5,128.7,0.45825756949558405,197.3,0.714142842854285,61.7,0.45825756949558394,6.764460564334674,0.0017888545995983216,0.016583781875669956,3.3241772782536044e-05,1.7344446997549021,0.00255348458926358,0.7781286823842818,0.000379168006362028,0.2622040374950107,0.00021061166415704336,0.9788098433650421,7.735792576195367e-05,0.4720504263851173,0.0003300602013029078,6.877311542901329,0.009693666415245624,14.0,0.0
