Block,Model,Granularity,Protocol,N_train,N_test,MAE,RMSE,R2,MAE_P1,MAE_P2,MAE_P3,RMSE_P1,RMSE_P2,RMSE_P3,R2_P1,R2_P2,R2_P3,Fold
FrameLevel_RecordSplit_TEST,kNN,Frame,RecordSplit,7680,1660,0.011733335741562477,0.01701654820290898,0.9950590232018115,0.015010778803125359,0.009309342221414538,0.010879886200147536,0.021185099072723694,0.012589792941229905,0.01616717134200086,0.9940330977058381,0.9961289172713105,0.9950150546774045,
RecordLevel_RecordSplit_TEST,kNN,Record,RecordSplit,384,83,0.12716549526471743,0.16788489622972916,0.5027062202686357,0.1527315276307793,0.10918081593085481,0.11958414223251819,0.20076221136091896,0.1447276973650291,0.15265792888379903,0.46413934749447383,0.4884376395289819,0.5555416678521408,
FrameLevel_RecordSplit_TEST,RandomForest,Frame,RecordSplit,7680,1660,0.01722444826044352,0.02834805178556044,0.9858830015683453,0.02120622007248093,0.014685558207781925,0.015781566501067705,0.03471107128549591,0.024954612028413786,0.02415046560286191,0.9839814219084333,0.9847911308954297,0.9888764520031386,
RecordLevel_RecordSplit_TEST,RandomForest,Record,RecordSplit,384,83,0.050913755943377804,0.07454399251450197,0.9033188117588716,0.06253162584570514,0.044942771696362155,0.04526687028806612,0.09224110906883441,0.0630326294509202,0.06472160290243711,0.8868806347888796,0.9029655102524543,0.9201102891526849,
RecordLevel_LOSO,kNN,Record,LOSO,477,73,0.27346736451656256,0.33537402515966613,-0.9607967850230811,0.34912814791579955,0.22066910014896784,0.25060484548492035,0.42202210609855817,0.25206785215986627,0.30949369965645224,-1.3956389260857565,-0.4284771007703616,-1.0582743514695672,LOSO_A
RecordLevel_LOSO,RandomForest,Record,LOSO,477,73,0.24156918041510123,0.30531251413843685,-0.6504226664595325,0.3020722651757198,0.21374383680930695,0.208891439260277,0.3740470048894304,0.2589753439751807,0.26956966300899454,-0.8819293842003693,-0.5078397854583603,-0.5614988496404267,LOSO_A
RecordLevel_LOSO,kNN,Record,LOSO,450,100,0.19974575399711939,0.25967014145675954,-1.139246752320826,0.2252153714140357,0.17482286133600095,0.19919902924132157,0.2938757576213831,0.22443317089879716,0.25603229869547683,-0.6483082377135283,-0.8496584122635216,-1.9197736105994267,LOSO_B
RecordLevel_LOSO,RandomForest,Record,LOSO,450,100,0.11282541520868737,0.14346821400961085,0.40817215211836694,0.15019799673110243,0.10412124804332851,0.0841570008516312,0.18278444916319325,0.12614591127993377,0.11147394092246678,0.3623396779455994,0.41566244632204785,0.4465143339917679,LOSO_B
RecordLevel_LOSO,kNN,Record,LOSO,450,100,0.2267873952535668,0.2649288441512627,-0.7864166432112393,0.26973784564106534,0.20083973841676012,0.20978460170287494,0.31287289904100735,0.23901309139707974,0.23568022525544863,-0.7329259470830276,-1.0576285577595352,-0.5686954176193093,LOSO_C
RecordLevel_LOSO,RandomForest,Record,LOSO,450,100,0.19459366774136824,0.23274663080295158,-0.3907701330011486,0.23323474971503025,0.17948075030148034,0.17106550320759414,0.2738355695213041,0.21898564313016242,0.19892800561557067,-0.32746729773408245,-0.7272487491327428,-0.11759434573833571,LOSO_C
RecordLevel_LOSO,kNN,Record,LOSO,423,127,0.16797101947912543,0.20508463655209033,0.03441309450808464,0.2000280007183573,0.13993916587953373,0.16394589183948524,0.2407687522147561,0.16472030162077494,0.20267401076610503,0.05147567642361328,0.09383542927968491,-0.042071839486265805,LOSO_D
RecordLevel_LOSO,RandomForest,Record,LOSO,423,127,0.1457341232154704,0.17397148136771312,0.31520390965967376,0.1882029554054258,0.12799724614467675,0.12100216809630869,0.21586402488491183,0.14577702903874867,0.15149260560486655,0.23755456410168463,0.2902735179599859,0.4177836374694551,LOSO_D
RecordLevel_LOSO,kNN,Record,LOSO,400,150,0.2562892196096787,0.3052917406414301,-0.9084219996572064,0.2931376631167485,0.20625389712880923,0.2694760985834785,0.3369739213961947,0.24917266181524733,0.322444881513722,-0.7244899525984361,-1.3416789639934281,-0.6590970681029067,LOSO_E
RecordLevel_LOSO,RandomForest,Record,LOSO,400,150,0.20675622229460214,0.23964459175646435,-0.19891872710300684,0.2242571670194467,0.17738216599176332,0.21862933387259645,0.2591099992714617,0.20328958659582633,0.25263401064308133,-0.019615504493784908,-0.5586795472912331,-0.018461120444068557,LOSO_E
